id_protein	id_analysis	type
NP_462490.1	PF01384	FAMILY
NP_462490.1	PTHR11101	FAMILY
NP_462516.3	PF17154	DOMAIN
NP_462516.3	PF00563	DOMAIN
NP_462516.3	PF00990	DOMAIN
NP_462516.3	PTHR33121	NULL_TYPE
NP_462516.3	cd01948	DOMAIN
NP_462516.3	SSF55073	HOMOLOGOUS_SUPERFAMILY
NP_462516.3	SSF141868	HOMOLOGOUS_SUPERFAMILY
NP_461674.1	PF14491	DOMAIN
NP_460696.1	PF16031	NULL_TYPE
NP_460696.1	PF03544	DOMAIN
NP_460696.1	PTHR33446	NULL_TYPE
NP_460696.1	SSF74653	NULL_TYPE
NP_463393.1	PF00874	DOMAIN
NP_463393.1	PF03610	DOMAIN
NP_463393.1	PF00158	DOMAIN
NP_463393.1	PTHR32071	NULL_TYPE
NP_463393.1	cd00009	NULL_TYPE
NP_463393.1	cd00006	DOMAIN
NP_463393.1	SSF53062	HOMOLOGOUS_SUPERFAMILY
NP_463393.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_463393.1	SSF46785	HOMOLOGOUS_SUPERFAMILY
NP_463393.1	SSF63520	HOMOLOGOUS_SUPERFAMILY
NP_459760.1	PF13531	NULL_TYPE
NP_459760.1	G3DSA:3.40.190.10:FF:000035	NULL_TYPE
NP_459760.1	PTHR30632	NULL_TYPE
NP_459760.1	cd13536	NULL_TYPE
NP_459760.1	SSF53850	NULL_TYPE
NP_461262.1	G3DSA:1.20.120.1200:FF:000001	NULL_TYPE
NP_461262.1	PF00499	FAMILY
NP_461262.1	PTHR33269	NULL_TYPE
NP_460677.1	PF02572	FAMILY
NP_460677.1	G3DSA:3.40.50.300:FF:000937	NULL_TYPE
NP_460677.1	PTHR46638	FAMILY
NP_460677.1	cd00561	FAMILY
NP_460677.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_461521.1	PF15284	FAMILY
NP_461593.1	G3DSA:3.30.2350.10:FF:000004	NULL_TYPE
NP_461593.1	PF01479	DOMAIN
NP_461593.1	PF00849	DOMAIN
NP_461593.1	G3DSA:3.10.290.10:FF:000011	NULL_TYPE
NP_461593.1	PTHR21600	NULL_TYPE
NP_461593.1	cd00165	NULL_TYPE
NP_461593.1	cd02869	DOMAIN
NP_461593.1	SSF55174	NULL_TYPE
NP_461593.1	SSF55120	HOMOLOGOUS_SUPERFAMILY
NP_461482.1	PF12146	DOMAIN
NP_461482.1	PTHR12277	NULL_TYPE
NP_461482.1	SSF53474	HOMOLOGOUS_SUPERFAMILY
NP_460037.1	PF04403	FAMILY
NP_460037.1	PTHR30462	NULL_TYPE
NP_460283.1	G3DSA:3.20.20.370:FF:000001	NULL_TYPE
NP_460283.1	PF04794	FAMILY
NP_460283.1	PTHR31609	FAMILY
NP_460283.1	cd10803	FAMILY
NP_460283.1	SSF88713	HOMOLOGOUS_SUPERFAMILY
NP_460491.1	G3DSA:3.30.2320.80:FF:000001	NULL_TYPE
NP_460491.1	PF01155	FAMILY
NP_460491.1	PTHR34535	FAMILY
NP_460173.1	PF02378	DOMAIN
NP_460173.1	G3DSA:3.30.1360.60:FF:000001	NULL_TYPE
NP_460173.1	PF00367	CONSERVED_SITE
NP_460173.1	PTHR30009	NULL_TYPE
NP_460173.1	cd00212	CONSERVED_SITE
NP_460173.1	SSF55604	HOMOLOGOUS_SUPERFAMILY
NP_460981.1	PF10114	DOMAIN
NP_460981.1	PF12833	DOMAIN
NP_460981.1	PTHR43280	NULL_TYPE
NP_460981.1	SSF46689	HOMOLOGOUS_SUPERFAMILY
NP_460981.1	SSF46689	HOMOLOGOUS_SUPERFAMILY
NP_462251.1	PF04386	FAMILY
NP_462251.1	G3DSA:2.30.30.220:FF:000001	NULL_TYPE
NP_462251.1	PTHR37486	FAMILY
NP_462251.1	SSF101738	HOMOLOGOUS_SUPERFAMILY
NP_459701.1	PF00589	DOMAIN
NP_459701.1	SSF56349	HOMOLOGOUS_SUPERFAMILY
NP_460555.1	PF10753	FAMILY
NP_462511.1	PF05170	DOMAIN
NP_462511.1	PTHR30441	NULL_TYPE
NP_461738.1	PF07690	FAMILY
NP_461738.1	PTHR42910	NULL_TYPE
NP_461738.1	cd17324	NULL_TYPE
NP_461738.1	SSF103473	HOMOLOGOUS_SUPERFAMILY
NP_459102.1	G3DSA:3.30.70.2250:FF:000001	NULL_TYPE
NP_459102.1	PF03104	DOMAIN
NP_459102.1	G3DSA:3.90.1600.10:FF:000010	NULL_TYPE
NP_459102.1	G3DSA:3.30.420.10:FF:000052	NULL_TYPE
NP_459102.1	G3DSA:1.10.132.60:FF:000008	NULL_TYPE
NP_459102.1	G3DSA:3.90.1600.10:FF:000009	NULL_TYPE
NP_459102.1	G3DSA:2.40.50.590:FF:000001	NULL_TYPE
NP_459102.1	PF00136	DOMAIN
NP_459102.1	PTHR10322	NULL_TYPE
NP_459102.1	cd05784	NULL_TYPE
NP_459102.1	cd05537	NULL_TYPE
NP_459102.1	SSF56672	HOMOLOGOUS_SUPERFAMILY
NP_459102.1	SSF53098	HOMOLOGOUS_SUPERFAMILY
NP_462762.1	PF01027	FAMILY
NP_462762.1	PTHR23291	FAMILY
NP_460413.1	G3DSA:3.40.1190.20:FF:000008	NULL_TYPE
NP_460413.1	PF08543	DOMAIN
NP_460413.1	PTHR10534	FAMILY
NP_460413.1	cd01173	FAMILY
NP_460413.1	SSF53613	HOMOLOGOUS_SUPERFAMILY
NP_460337.1	PF01458	FAMILY
NP_460337.1	PTHR43575	FAMILY
NP_460337.1	SSF101960	HOMOLOGOUS_SUPERFAMILY
NP_461424.1	G3DSA:3.20.20.70:FF:000046	NULL_TYPE
NP_461424.1	PF00701	FAMILY
NP_461424.1	PTHR12128	FAMILY
NP_461424.1	cd00950	FAMILY
NP_461424.1	SSF51569	NULL_TYPE
NP_459439.1	G3DSA:2.60.40.420:FF:000008	NULL_TYPE
NP_459439.1	PF00116	DOMAIN
NP_459439.1	G3DSA:1.10.287.90:FF:000002	NULL_TYPE
NP_459439.1	PF06481	DOMAIN
NP_459439.1	PTHR22888	FAMILY
NP_459439.1	cd04212	DOMAIN
NP_459439.1	SSF49503	HOMOLOGOUS_SUPERFAMILY
NP_459439.1	SSF81464	HOMOLOGOUS_SUPERFAMILY
NP_461874.1	G3DSA:3.40.50.300:FF:000009	NULL_TYPE
NP_461874.1	PF00117	DOMAIN
NP_461874.1	PF06418	DOMAIN
NP_461874.1	G3DSA:3.40.50.880:FF:000002	NULL_TYPE
NP_461874.1	PTHR11550	FAMILY
NP_461874.1	cd03113	DOMAIN
NP_461874.1	cd01746	DOMAIN
NP_461874.1	SSF52317	HOMOLOGOUS_SUPERFAMILY
NP_461874.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_461899.1	G3DSA:3.40.50.150:FF:000020	NULL_TYPE
NP_461899.1	PF18125	DOMAIN
NP_461899.1	G3DSA:3.30.70.2810:FF:000001	NULL_TYPE
NP_461899.1	PF01728	DOMAIN
NP_461899.1	G3DSA:3.30.2300.20:FF:000001	NULL_TYPE
NP_461899.1	PTHR37524	NULL_TYPE
NP_461899.1	SSF53335	HOMOLOGOUS_SUPERFAMILY
NP_460120.1	PF01757	DOMAIN
NP_460120.1	PTHR36927	NULL_TYPE
NP_462053.1	PF00015	DOMAIN
NP_462053.1	PF13682	DOMAIN
NP_462053.1	PTHR32089	NULL_TYPE
NP_462053.1	SSF58104	NULL_TYPE
NP_462046.1	PF05638	FAMILY
NP_462046.1	PTHR36152	NULL_TYPE
NP_462046.1	SSF141452	HOMOLOGOUS_SUPERFAMILY
NP_461073.1	PF00873	FAMILY
NP_461073.1	G3DSA:1.20.1640.10:FF:000001	NULL_TYPE
NP_461073.1	G3DSA:3.30.2090.10:FF:000005	NULL_TYPE
NP_461073.1	G3DSA:3.30.70.1430:FF:000004	NULL_TYPE
NP_461073.1	G3DSA:3.30.2090.10:FF:000004	NULL_TYPE
NP_461073.1	G3DSA:3.30.70.1430:FF:000001	NULL_TYPE
NP_461073.1	PTHR32063	FAMILY
NP_461073.1	SSF82714	HOMOLOGOUS_SUPERFAMILY
NP_461073.1	SSF82714	HOMOLOGOUS_SUPERFAMILY
NP_461073.1	SSF82866	NULL_TYPE
NP_461073.1	SSF82866	NULL_TYPE
NP_461073.1	SSF82693	NULL_TYPE
NP_461073.1	SSF82693	NULL_TYPE
NP_461073.1	SSF82693	NULL_TYPE
NP_461073.1	SSF82693	NULL_TYPE
NP_460094.1	PF00440	DOMAIN
NP_460094.1	PF08362	DOMAIN
NP_460094.1	PTHR30055	NULL_TYPE
NP_460094.1	SSF48498	HOMOLOGOUS_SUPERFAMILY
NP_460094.1	SSF46689	HOMOLOGOUS_SUPERFAMILY
NP_460418.1	PF04205	DOMAIN
NP_460418.1	PTHR36118	FAMILY
NP_462523.1	PF10995	FAMILY
NP_463011.1	G3DSA:3.90.78.10:FF:000002	NULL_TYPE
NP_463011.1	G3DSA:3.30.465.10:FF:000018	NULL_TYPE
NP_463011.1	PF02873	DOMAIN
NP_463011.1	PF01565	DOMAIN
NP_463011.1	PTHR21071	FAMILY
NP_463011.1	SSF56176	HOMOLOGOUS_SUPERFAMILY
NP_463011.1	SSF56194	HOMOLOGOUS_SUPERFAMILY
NP_460313.1	G3DSA:3.20.20.70:FF:000005	NULL_TYPE
NP_460313.1	PF00793	DOMAIN
NP_460313.1	PTHR21225	FAMILY
NP_460313.1	SSF51569	NULL_TYPE
NP_461783.1	G3DSA:3.40.50.300:FF:000134	NULL_TYPE
NP_461783.1	PF00005	DOMAIN
NP_461783.1	PTHR42734	NULL_TYPE
NP_461783.1	cd03235	NULL_TYPE
NP_461783.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_462027.1	G3DSA:1.10.3880.10:FF:000001	NULL_TYPE
NP_462027.1	PF04362	FAMILY
NP_462027.1	PTHR36965	FAMILY
NP_462027.1	SSF111148	HOMOLOGOUS_SUPERFAMILY
NP_461101.1	PF06998	FAMILY
NP_461101.1	SSF160704	HOMOLOGOUS_SUPERFAMILY
NP_462587.1	G3DSA:1.20.120.330:FF:000004	NULL_TYPE
NP_462587.1	PF05068	FAMILY
NP_462587.1	PTHR37941	FAMILY
NP_462587.1	SSF158668	HOMOLOGOUS_SUPERFAMILY
NP_463047.1	G3DSA:3.40.50.880:FF:000004	NULL_TYPE
NP_463047.1	PF04204	FAMILY
NP_463047.1	PTHR20919	FAMILY
NP_463047.1	cd03131	FAMILY
NP_463047.1	SSF52317	HOMOLOGOUS_SUPERFAMILY
NP_460258.1	PF07023	FAMILY
NP_463205.1	PF02300	FAMILY
NP_463205.1	cd00546	FAMILY
NP_463205.1	SSF81343	HOMOLOGOUS_SUPERFAMILY
NP_459161.1	PF11453	FAMILY
NP_462473.1	PF03602	NULL_TYPE
NP_462473.1	PTHR43542	FAMILY
NP_462473.1	cd02440	NULL_TYPE
NP_462473.1	SSF53335	HOMOLOGOUS_SUPERFAMILY
NP_463266.1	PF09695	FAMILY
NP_463328.1	PF04074	FAMILY
NP_463328.1	G3DSA:2.60.120.370:FF:000002	NULL_TYPE
NP_463328.1	PTHR34986	FAMILY
NP_463328.1	SSF51197	NULL_TYPE
NP_460109.1	PF06496	FAMILY
NP_460987.1	PF02287	FAMILY
NP_460987.1	SSF47148	HOMOLOGOUS_SUPERFAMILY
NP_460717.1	G3DSA:1.20.950.20:FF:000001	NULL_TYPE
NP_460717.1	PF02665	DOMAIN
NP_460717.1	PTHR30598	NULL_TYPE
NP_460717.1	SSF103501	HOMOLOGOUS_SUPERFAMILY
NP_459917.1	PF04393	FAMILY
NP_459917.1	PTHR38785	FAMILY
NP_461204.1	G3DSA:3.30.70.20:FF:000024	NULL_TYPE
NP_461204.1	PF12800	DOMAIN
NP_461204.1	G3DSA:3.30.70.20:FF:000025	NULL_TYPE
NP_461204.1	PF12838	DOMAIN
NP_461204.1	cd10564	FAMILY
NP_461204.1	SSF54862	NULL_TYPE
NP_459666.1	PF13242	NULL_TYPE
NP_459666.1	G3DSA:3.40.50.1000:FF:000016	NULL_TYPE
NP_459666.1	PF13344	FAMILY
NP_459666.1	PTHR19288	NULL_TYPE
NP_459666.1	cd07530	NULL_TYPE
NP_459666.1	SSF56784	HOMOLOGOUS_SUPERFAMILY
NP_462295.1	PF02954	DOMAIN
NP_462295.1	G3DSA:1.10.10.60:FF:000006	NULL_TYPE
NP_462295.1	PTHR47918	NULL_TYPE
NP_462295.1	SSF46689	HOMOLOGOUS_SUPERFAMILY
NP_459193.1	PF02834	DOMAIN
NP_459193.1	PTHR35561	FAMILY
NP_459193.1	SSF55144	HOMOLOGOUS_SUPERFAMILY
NP_459622.1	PF02537	FAMILY
NP_459622.1	PTHR28259	FAMILY
NP_490593.1	PF05857	FAMILY
NP_463087.3	PF11106	FAMILY
NP_460912.1	PF08884	DOMAIN
NP_460912.1	PF00700	DOMAIN
NP_460912.1	PF00669	DOMAIN
NP_460912.1	PTHR42792	FAMILY
NP_460912.1	SSF64518	NULL_TYPE
NP_460505.1	PF07690	FAMILY
NP_460505.1	PTHR23504	NULL_TYPE
NP_460505.1	cd17330	NULL_TYPE
NP_460505.1	SSF103473	HOMOLOGOUS_SUPERFAMILY
NP_462440.1	G3DSA:3.30.360.10:FF:000012	NULL_TYPE
NP_462440.1	G3DSA:3.40.50.720:FF:000152	NULL_TYPE
NP_462440.1	PF02774	DOMAIN
NP_462440.1	PF01118	DOMAIN
NP_462440.1	PTHR46278	NULL_TYPE
NP_462440.1	SSF51735	HOMOLOGOUS_SUPERFAMILY
NP_462440.1	SSF55347	NULL_TYPE
NP_461604.1	PF01746	DOMAIN
NP_461604.1	G3DSA:3.40.1280.10:FF:000001	NULL_TYPE
NP_461604.1	G3DSA:1.10.1270.20:FF:000001	NULL_TYPE
NP_461604.1	PTHR46417	FAMILY
NP_461604.1	cd18080	FAMILY
NP_461604.1	SSF75217	HOMOLOGOUS_SUPERFAMILY
NP_462958.1	PF13407	DOMAIN
NP_462958.1	PTHR30036	NULL_TYPE
NP_462958.1	cd20003	FAMILY
NP_462958.1	SSF53822	HOMOLOGOUS_SUPERFAMILY
NP_461292.1	PF01370	DOMAIN
NP_461292.1	PF08338	DOMAIN
NP_461292.1	PTHR11092	NULL_TYPE
NP_461292.1	cd05242	NULL_TYPE
NP_461292.1	SSF51735	HOMOLOGOUS_SUPERFAMILY
NP_462453.1	PF10956	FAMILY
NP_461538.1	PF14000	FAMILY
NP_460644.1	PF00581	DOMAIN
NP_460644.1	PTHR45431	NULL_TYPE
NP_460644.1	cd00158	NULL_TYPE
NP_460644.1	SSF52821	HOMOLOGOUS_SUPERFAMILY
NP_459360.1	PF01810	FAMILY
NP_459360.1	PTHR30086	FAMILY
NP_460033.1	PF07126	FAMILY
NP_462913.3	PF01381	DOMAIN
NP_462913.3	PTHR36511	NULL_TYPE
NP_462913.3	cd00093	DOMAIN
NP_462913.3	SSF47413	HOMOLOGOUS_SUPERFAMILY
NP_460593.1	G3DSA:1.10.3720.10:FF:000098	NULL_TYPE
NP_460593.1	PF00528	DOMAIN
NP_460593.1	PTHR30614	FAMILY
NP_460593.1	SSF161098	HOMOLOGOUS_SUPERFAMILY
NP_459869.1	PF12167	DOMAIN
NP_459869.1	PF00589	DOMAIN
NP_459869.1	PTHR30629	NULL_TYPE
NP_459869.1	cd01189	NULL_TYPE
NP_459869.1	SSF56349	HOMOLOGOUS_SUPERFAMILY
NP_462162.1	G3DSA:3.20.20.60:FF:000004	NULL_TYPE
NP_462162.1	PF03328	DOMAIN
NP_462162.1	PTHR30502	NULL_TYPE
NP_462162.1	SSF51621	HOMOLOGOUS_SUPERFAMILY
NP_463162.1	PF12833	DOMAIN
NP_463162.1	PTHR43280	NULL_TYPE
NP_463162.1	cd06997	NULL_TYPE
NP_463162.1	SSF51182	HOMOLOGOUS_SUPERFAMILY
NP_463162.1	SSF47454	HOMOLOGOUS_SUPERFAMILY
NP_463162.1	SSF46689	HOMOLOGOUS_SUPERFAMILY
NP_462114.1	G3DSA:3.30.479.30:FF:000014	NULL_TYPE
NP_462114.1	PF01145	DOMAIN
NP_462114.1	PF15975	DOMAIN
NP_462114.1	PTHR13806	FAMILY
NP_462114.1	cd03399	NULL_TYPE
NP_462114.1	SSF117892	HOMOLOGOUS_SUPERFAMILY
NP_460287.3	PF04307	FAMILY
NP_460287.3	PTHR35531	NULL_TYPE
NP_461158.1	G3DSA:3.90.1720.10:FF:000001	NULL_TYPE
NP_461158.1	PF00877	DOMAIN
NP_461158.1	PTHR47360	NULL_TYPE
NP_461158.1	SSF54001	HOMOLOGOUS_SUPERFAMILY
NP_462809.1	PF02706	DOMAIN
NP_462809.1	PTHR32309	NULL_TYPE
NP_462809.1	SSF160355	NULL_TYPE
NP_459936.1	PF09397	DOMAIN
NP_459936.1	G3DSA:3.30.980.40:FF:000001	NULL_TYPE
NP_459936.1	PF01580	DOMAIN
NP_459936.1	G3DSA:3.40.50.300:FF:000209	NULL_TYPE
NP_459936.1	G3DSA:1.10.10.10:FF:000268	NULL_TYPE
NP_459936.1	PF13491	DOMAIN
NP_459936.1	PF17854	DOMAIN
NP_459936.1	PTHR22683	NULL_TYPE
NP_459936.1	cd01127	NULL_TYPE
NP_459936.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_459936.1	SSF46785	HOMOLOGOUS_SUPERFAMILY
NP_461927.1	G3DSA:3.30.300.30:FF:000009	NULL_TYPE
NP_461927.1	PF01553	DOMAIN
NP_461927.1	PF00501	DOMAIN
NP_461927.1	G3DSA:3.40.50.12780:FF:000009	NULL_TYPE
NP_461927.1	PTHR43201	NULL_TYPE
NP_461927.1	cd07989	NULL_TYPE
NP_461927.1	cd05909	NULL_TYPE
NP_461927.1	SSF69593	NULL_TYPE
NP_461927.1	SSF56801	NULL_TYPE
NP_463405.1	PF06738	DOMAIN
NP_463405.1	PTHR34390	NULL_TYPE
NP_459111.1	G3DSA:3.40.50.300:FF:001071	NULL_TYPE
NP_459111.1	PF00005	DOMAIN
NP_459111.1	PTHR42781	NULL_TYPE
NP_459111.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_459543.1	PF00419	DOMAIN
NP_459543.1	G3DSA:2.60.40.1090:FF:000007	NULL_TYPE
NP_459543.1	PTHR33420	NULL_TYPE
NP_459543.1	SSF49401	HOMOLOGOUS_SUPERFAMILY
NP_462965.1	PF00970	DOMAIN
NP_462965.1	G3DSA:3.40.50.80:FF:000013	NULL_TYPE
NP_462965.1	G3DSA:2.40.30.10:FF:000044	NULL_TYPE
NP_462965.1	PF00175	DOMAIN
NP_462965.1	PTHR47878	NULL_TYPE
NP_462965.1	cd06195	FAMILY
NP_462965.1	SSF63380	HOMOLOGOUS_SUPERFAMILY
NP_462965.1	SSF52343	HOMOLOGOUS_SUPERFAMILY
NP_459826.1	PF00496	DOMAIN
NP_459826.1	G3DSA:3.10.105.10:FF:000003	NULL_TYPE
NP_459826.1	G3DSA:3.90.76.10:FF:000003	NULL_TYPE
NP_459826.1	G3DSA:3.40.190.10:FF:000094	NULL_TYPE
NP_459826.1	PTHR30290	FAMILY
NP_459826.1	cd08499	NULL_TYPE
NP_459826.1	SSF53850	NULL_TYPE
NP_460527.1	PF01292	DOMAIN
NP_460527.1	G3DSA:1.20.950.20:FF:000002	NULL_TYPE
NP_460527.1	PTHR30074	NULL_TYPE
NP_460527.1	SSF81342	HOMOLOGOUS_SUPERFAMILY
NP_461334.1	PF04333	FAMILY
NP_461334.1	PTHR30035	FAMILY
NP_461587.1	PF13091	DOMAIN
NP_461587.1	G3DSA:3.30.870.10:FF:000008	NULL_TYPE
NP_461587.1	G3DSA:3.30.870.10:FF:000006	NULL_TYPE
NP_461587.1	PTHR12586	FAMILY
NP_461587.1	cd09134	NULL_TYPE
NP_461587.1	cd09136	NULL_TYPE
NP_461587.1	SSF56024	NULL_TYPE
NP_461587.1	SSF56024	NULL_TYPE
NP_459010.1	PF03883	FAMILY
NP_459010.1	PTHR30283	FAMILY
NP_463400.3	G3DSA:3.40.720.10:FF:000009	NULL_TYPE
NP_463400.3	PF00884	DOMAIN
NP_463400.3	PTHR47371	NULL_TYPE
NP_463400.3	cd16015	NULL_TYPE
