id_protein	id_analysis	type
YP_177884.1	PTHR30345	FAMILY
YP_177884.1	SSF89623	HOMOLOGOUS_SUPERFAMILY
NP_218168.1	PF18621	DOMAIN
NP_218168.1	PF18007	DOMAIN
NP_217903.1	PF05598	DOMAIN
NP_217903.1	PTHR33803	NULL_TYPE
NP_217028.1|NP_215715.1	PF00872	FAMILY
NP_217028.1|NP_215715.1	PTHR33217	FAMILY
NP_217130.1	G3DSA:3.30.980.10:FF:000005	NULL_TYPE
NP_217130.1	G3DSA:3.40.50.800:FF:000001	NULL_TYPE
NP_217130.1	G3DSA:3.30.930.10:FF:000019	NULL_TYPE
NP_217130.1	G3DSA:3.30.54.20:FF:000003	NULL_TYPE
NP_217130.1	PF00587	DOMAIN
NP_217130.1	PF03129	DOMAIN
NP_217130.1	PF07973	DOMAIN
NP_217130.1	PTHR11451	NULL_TYPE
NP_217130.1	cd00771	DOMAIN
NP_217130.1	cd00860	DOMAIN
NP_217130.1	SSF55186	HOMOLOGOUS_SUPERFAMILY
NP_217130.1	SSF55681	HOMOLOGOUS_SUPERFAMILY
NP_217130.1	SSF52954	NULL_TYPE
NP_216747.1	PF00155	DOMAIN
NP_216747.1	PTHR42885	NULL_TYPE
NP_216747.1	cd00609	NULL_TYPE
NP_216747.1	SSF53383	HOMOLOGOUS_SUPERFAMILY
NP_214669.1	G3DSA:3.40.50.720:FF:000188	NULL_TYPE
NP_214669.1	PF05222	DOMAIN
NP_214669.1	PF01262	DOMAIN
NP_214669.1	PTHR10160	NULL_TYPE
NP_214669.1	cd05304	NULL_TYPE
NP_214669.1	SSF51735	HOMOLOGOUS_SUPERFAMILY
NP_214669.1	SSF52283	NULL_TYPE
NP_216487.1	PF02470	DOMAIN
NP_216487.1	PTHR33371	NULL_TYPE
NP_217011.1	PF00198	DOMAIN
NP_217011.1	PF02817	DOMAIN
NP_217011.1	PF00364	DOMAIN
NP_217011.1	G3DSA:3.30.559.10:FF:000007	NULL_TYPE
NP_217011.1	PTHR43178	NULL_TYPE
NP_217011.1	cd06849	NULL_TYPE
NP_217011.1	SSF47005	HOMOLOGOUS_SUPERFAMILY
NP_217011.1	SSF52777	NULL_TYPE
NP_217011.1	SSF51230	HOMOLOGOUS_SUPERFAMILY
NP_216550.1	PF01022	DOMAIN
NP_216550.1	G3DSA:1.10.10.10:FF:000496	NULL_TYPE
NP_216550.1	PTHR33154	NULL_TYPE
NP_216550.1	cd00090	DOMAIN
NP_216550.1	SSF46785	HOMOLOGOUS_SUPERFAMILY
NP_217328.1	PF09299	DOMAIN
NP_217328.1	G3DSA:3.30.420.10:FF:000191	NULL_TYPE
NP_217328.1	PF00665	DOMAIN
NP_217328.1	PF13518	NULL_TYPE
NP_217328.1	PTHR35004	NULL_TYPE
NP_217328.1	SSF46689	HOMOLOGOUS_SUPERFAMILY
NP_217328.1	SSF53098	HOMOLOGOUS_SUPERFAMILY
NP_218142.1	PF09179	DOMAIN
NP_218142.1	PF01171	DOMAIN
NP_218142.1	PTHR43033	FAMILY
NP_218142.1	cd01992	DOMAIN
NP_218142.1	SSF52402	NULL_TYPE
NP_218142.1	SSF82829	NULL_TYPE
NP_215331.1	PF00085	DOMAIN
NP_215331.1	PTHR45663	NULL_TYPE
NP_215331.1	cd02947	NULL_TYPE
NP_215331.1	SSF52833	HOMOLOGOUS_SUPERFAMILY
NP_215585.1	PF10081	DOMAIN
NP_215585.1	PF15420	DOMAIN
NP_217527.2	PF01425	DOMAIN
NP_217527.2	PTHR11895	FAMILY
NP_217527.2	SSF75304	HOMOLOGOUS_SUPERFAMILY
NP_217245.1	PTHR40761	NULL_TYPE
NP_217245.1	SSF103481	NULL_TYPE
NP_217374.1	G3DSA:3.40.309.10:FF:000039	NULL_TYPE
NP_217374.1	G3DSA:3.40.605.10:FF:000007	NULL_TYPE
NP_217374.1	PF00171	DOMAIN
NP_217374.1	PTHR11699	NULL_TYPE
NP_217374.1	SSF53720	HOMOLOGOUS_SUPERFAMILY
NP_215305.1	PF01841	DOMAIN
NP_215305.1	PTHR33490	NULL_TYPE
NP_215305.1	SSF54001	HOMOLOGOUS_SUPERFAMILY
NP_217533.1	SSF140453	HOMOLOGOUS_SUPERFAMILY
NP_217629.1	PF13419	FAMILY
NP_217629.1	PTHR43434	NULL_TYPE
NP_217629.1	SSF56784	HOMOLOGOUS_SUPERFAMILY
NP_216385.1	G3DSA:3.30.390.30:FF:000016	NULL_TYPE
NP_216385.1	PF14759	DOMAIN
NP_216385.1	PF07992	DOMAIN
NP_216385.1	PTHR43557	NULL_TYPE
NP_216385.1	SSF51905	HOMOLOGOUS_SUPERFAMILY
NP_216385.1	SSF51905	HOMOLOGOUS_SUPERFAMILY
NP_216385.1	SSF55424	HOMOLOGOUS_SUPERFAMILY
NP_216098.1	PF08706	DOMAIN
NP_216098.1	PTHR35372	NULL_TYPE
NP_216098.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_214629.1	PF00288	DOMAIN
NP_214629.1	PF08544	DOMAIN
NP_214629.1	PTHR32463	NULL_TYPE
NP_214629.1	SSF54211	HOMOLOGOUS_SUPERFAMILY
NP_214629.1	SSF55060	HOMOLOGOUS_SUPERFAMILY
NP_216160.1	G3DSA:3.30.1330.30:FF:000043	NULL_TYPE
NP_216160.1	PF00588	DOMAIN
NP_216160.1	PF08032	DOMAIN
NP_216160.1	PTHR43191	NULL_TYPE
NP_216160.1	cd18095	NULL_TYPE
NP_216160.1	SSF55315	HOMOLOGOUS_SUPERFAMILY
NP_216160.1	SSF75217	HOMOLOGOUS_SUPERFAMILY
NP_216119.1	PF00977	FAMILY
NP_216119.1	G3DSA:3.20.20.70:FF:000009	NULL_TYPE
NP_216119.1	PTHR43090	FAMILY
NP_216119.1	cd04732	FAMILY
NP_216119.1	SSF51366	HOMOLOGOUS_SUPERFAMILY
NP_216695.1	PF16473	DOMAIN
NP_216695.1	SSF53098	HOMOLOGOUS_SUPERFAMILY
NP_218440.3	PF00825	FAMILY
NP_218440.3	G3DSA:3.30.230.10:FF:000135	NULL_TYPE
NP_218440.3	PTHR33992	FAMILY
NP_218440.3	SSF54211	HOMOLOGOUS_SUPERFAMILY
NP_217277.1	PF01420	DOMAIN
NP_217277.1	cd17266	NULL_TYPE
NP_217277.1	SSF116734	NULL_TYPE
NP_217605.1	PF00501	DOMAIN
NP_217605.1	PF13193	DOMAIN
NP_217605.1	G3DSA:3.30.300.30:FF:000008	NULL_TYPE
NP_217605.1	PTHR43201	NULL_TYPE
NP_217605.1	cd17631	NULL_TYPE
NP_217605.1	SSF56801	NULL_TYPE
NP_214972.1	G3DSA:3.40.309.10:FF:000017	NULL_TYPE
NP_214972.1	G3DSA:3.40.605.10:FF:000001	NULL_TYPE
NP_214972.1	PF00171	DOMAIN
NP_214972.1	PTHR43111	NULL_TYPE
NP_214972.1	cd07116	NULL_TYPE
NP_214972.1	SSF53720	HOMOLOGOUS_SUPERFAMILY
NP_216715.1	PF12270	FAMILY
NP_215263.1	PF01850	DOMAIN
NP_215263.1	G3DSA:3.40.50.1010:FF:000048	NULL_TYPE
NP_215263.1	cd18678	NULL_TYPE
NP_215263.1	SSF88723	HOMOLOGOUS_SUPERFAMILY
NP_218405.1	G3DSA:3.40.50.300:FF:001563	NULL_TYPE
NP_218405.1	PTHR43384	NULL_TYPE
NP_218405.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_215398.1	PF11268	FAMILY
NP_215407.1	PF00743	FAMILY
NP_215407.1	PTHR42877	NULL_TYPE
NP_215407.1	SSF51905	HOMOLOGOUS_SUPERFAMILY
NP_215407.1	SSF51905	HOMOLOGOUS_SUPERFAMILY
NP_215727.1	PF11314	FAMILY
NP_215437.1	PF01385	DOMAIN
NP_216752.1	PF03186	FAMILY
NP_216752.1	PTHR34308	FAMILY
NP_216423.1	PF14081	FAMILY
NP_215529.1	G3DSA:3.40.50.12780:FF:000033	NULL_TYPE
NP_215529.1	G3DSA:3.30.300.30:FF:000013	NULL_TYPE
NP_215529.1	PF00501	DOMAIN
NP_215529.1	PF14535	DOMAIN
NP_215529.1	PTHR22754	NULL_TYPE
NP_215529.1	cd05931	FAMILY
NP_215529.1	SSF56801	NULL_TYPE
NP_215810.1	PF00742	DOMAIN
NP_215810.1	G3DSA:3.40.50.720:FF:000062	NULL_TYPE
NP_215810.1	PF03447	DOMAIN
NP_215810.1	PF01842	DOMAIN
NP_215810.1	G3DSA:3.30.360.10:FF:000005	NULL_TYPE
NP_215810.1	PTHR43331	NULL_TYPE
NP_215810.1	cd04881	NULL_TYPE
NP_215810.1	SSF55021	HOMOLOGOUS_SUPERFAMILY
NP_215810.1	SSF51735	HOMOLOGOUS_SUPERFAMILY
NP_215810.1	SSF55347	NULL_TYPE
NP_216054.1	G3DSA:3.40.50.40:FF:000008	NULL_TYPE
NP_216054.1	PF00710	DOMAIN
NP_216054.1	G3DSA:3.40.50.1170:FF:000005	NULL_TYPE
NP_216054.1	PF17763	DOMAIN
NP_216054.1	PTHR11707	NULL_TYPE
NP_216054.1	cd08964	FAMILY
NP_216054.1	SSF53774	HOMOLOGOUS_SUPERFAMILY
NP_216670.1	PF01098	FAMILY
NP_216670.1	PTHR30474	FAMILY
NP_216757.3	PF17831	DOMAIN
NP_216757.3	G3DSA:3.40.50.970:FF:000011	NULL_TYPE
NP_216757.3	G3DSA:3.40.50.970:FF:000009	NULL_TYPE
NP_216757.3	G3DSA:3.40.50.920:FF:000018	NULL_TYPE
NP_216757.3	PF00456	DOMAIN
NP_216757.3	PTHR43825	NULL_TYPE
NP_216757.3	cd02017	DOMAIN
NP_216757.3	SSF52518	HOMOLOGOUS_SUPERFAMILY
NP_216757.3	SSF52922	HOMOLOGOUS_SUPERFAMILY
NP_216757.3	SSF52518	HOMOLOGOUS_SUPERFAMILY
NP_217313.1	PF06259	FAMILY
NP_217313.1	SSF53474	HOMOLOGOUS_SUPERFAMILY
NP_216554.1	PF17912	DOMAIN
NP_216554.1	PF00005	DOMAIN
NP_216554.1	G3DSA:3.40.50.300:FF:000042	NULL_TYPE
NP_216554.1	PTHR43875	NULL_TYPE
NP_216554.1	cd03301	DOMAIN
NP_216554.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_216554.1	SSF50331	HOMOLOGOUS_SUPERFAMILY
NP_215825.1	PF00231	FAMILY
NP_215825.1	G3DSA:3.40.1380.10:FF:000010	NULL_TYPE
NP_215825.1	PTHR11693	FAMILY
NP_215825.1	cd12151	FAMILY
NP_215825.1	SSF52943	HOMOLOGOUS_SUPERFAMILY
NP_216537.1	PF13744	DOMAIN
NP_216537.1	cd00093	DOMAIN
NP_216537.1	SSF47413	HOMOLOGOUS_SUPERFAMILY
YP_177887.1	PF00934	DOMAIN
YP_177887.1	SSF140459	NULL_TYPE
YP_177965.1	PF00934	DOMAIN
YP_177965.1	SSF140459	NULL_TYPE
NP_215139.1	PF09335	FAMILY
NP_215139.1	PTHR12677	FAMILY
YP_177943.1	PF11305	FAMILY
NP_215210.1	PF00535	DOMAIN
NP_215210.1	PTHR43646	NULL_TYPE
NP_215210.1	SSF53448	HOMOLOGOUS_SUPERFAMILY
NP_215534.1	PF12804	DOMAIN
NP_215534.1	G3DSA:3.90.550.10:FF:000006	NULL_TYPE
NP_215534.1	G3DSA:2.160.10.10:FF:000028	NULL_TYPE
NP_215534.1	PTHR43584	NULL_TYPE
NP_215534.1	cd03353	DOMAIN
NP_215534.1	cd02540	NULL_TYPE
NP_215534.1	SSF51161	HOMOLOGOUS_SUPERFAMILY
NP_215534.1	SSF53448	HOMOLOGOUS_SUPERFAMILY
NP_215592.1	PF07859	DOMAIN
NP_215592.1	G3DSA:3.40.50.1820:FF:000278	NULL_TYPE
NP_215592.1	PTHR48081	NULL_TYPE
NP_215592.1	SSF53474	HOMOLOGOUS_SUPERFAMILY
NP_217799.1	G3DSA:3.90.950.10:FF:000010	NULL_TYPE
NP_217799.1	PF02545	FAMILY
NP_217799.1	PTHR43213	FAMILY
NP_217799.1	cd00555	FAMILY
NP_217799.1	SSF52972	HOMOLOGOUS_SUPERFAMILY
NP_215004.1	PF02518	DOMAIN
NP_215004.1	PF00512	DOMAIN
NP_215004.1	G3DSA:1.10.287.130:FF:000008	NULL_TYPE
NP_215004.1	G3DSA:3.30.565.10:FF:000045	NULL_TYPE
NP_215004.1	PTHR45453	NULL_TYPE
NP_215004.1	cd00082	DOMAIN
NP_215004.1	SSF55874	HOMOLOGOUS_SUPERFAMILY
NP_215004.1	SSF47384	HOMOLOGOUS_SUPERFAMILY
NP_216137.1	PF00664	DOMAIN
NP_216137.1	PF00005	DOMAIN
NP_216137.1	PTHR24221	FAMILY
NP_216137.1	cd18584	NULL_TYPE
NP_216137.1	cd03228	NULL_TYPE
NP_216137.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_216137.1	SSF90123	HOMOLOGOUS_SUPERFAMILY
NP_217598.1	PF12625	DOMAIN
NP_217598.1	PF12833	DOMAIN
NP_217598.1	PTHR47894	NULL_TYPE
NP_217598.1	SSF46689	HOMOLOGOUS_SUPERFAMILY
NP_217040.1	G3DSA:1.20.930.70:FF:000002	NULL_TYPE
NP_217040.1	G3DSA:3.90.25.70:FF:000002	NULL_TYPE
NP_217040.1	G3DSA:3.40.366.10:FF:000009	NULL_TYPE
NP_217040.1	G3DSA:3.30.70.3320:FF:000001	NULL_TYPE
NP_217040.1	G3DSA:3.40.50.720:FF:000632	NULL_TYPE
NP_217040.1	PF02801	DOMAIN
NP_217040.1	PF16073	DOMAIN
NP_217040.1	PF00698	DOMAIN
NP_217040.1	PF01575	DOMAIN
NP_217040.1	PF08354	DOMAIN
NP_217040.1	G3DSA:3.20.20.70:FF:000170	NULL_TYPE
NP_217040.1	G3DSA:3.10.129.10:FF:000119	NULL_TYPE
NP_217040.1	PF18094	NULL_TYPE
NP_217040.1	G3DSA:3.40.366.10:FF:000033	NULL_TYPE
NP_217040.1	PF00109	DOMAIN
NP_217040.1	PTHR10982	NULL_TYPE
NP_217040.1	cd03447	NULL_TYPE
NP_217040.1	cd08950	NULL_TYPE
NP_217040.1	cd00828	DOMAIN
NP_217040.1	SSF51735	HOMOLOGOUS_SUPERFAMILY
NP_217040.1	SSF53901	HOMOLOGOUS_SUPERFAMILY
NP_217040.1	SSF54637	HOMOLOGOUS_SUPERFAMILY
NP_217040.1	SSF52151	HOMOLOGOUS_SUPERFAMILY
NP_217040.1	SSF51412	NULL_TYPE
NP_217040.1	SSF53901	HOMOLOGOUS_SUPERFAMILY
NP_217040.1	SSF52151	HOMOLOGOUS_SUPERFAMILY
YP_177617.1	PF03364	DOMAIN
YP_177617.1	PTHR39683	NULL_TYPE
YP_177617.1	cd07819	NULL_TYPE
YP_177617.1	SSF55961	NULL_TYPE
NP_217303.1	G3DSA:3.40.50.300:FF:002631	NULL_TYPE
NP_217303.1	PF01656	DOMAIN
NP_217303.1	PTHR43384	NULL_TYPE
NP_217303.1	SSF52540	HOMOLOGOUS_SUPERFAMILY
NP_215531.1	G3DSA:2.170.120.20:FF:000010	NULL_TYPE
NP_215531.1	G3DSA:2.40.240.10:FF:000010	NULL_TYPE
NP_215531.1	PF01386	FAMILY
NP_215531.1	PF14693	DOMAIN
NP_215531.1	PTHR33284	NULL_TYPE
NP_215531.1	cd00495	FAMILY
NP_215531.1	SSF50715	HOMOLOGOUS_SUPERFAMILY
YP_177999.1	PF00934	DOMAIN
YP_177999.1	SSF140459	NULL_TYPE
NP_215073.1	PF05305	DOMAIN
NP_215803.1	PF02082	FAMILY
NP_215803.1	G3DSA:1.10.10.10:FF:000444	NULL_TYPE
NP_215803.1	PTHR33221	FAMILY
NP_215803.1	SSF46785	HOMOLOGOUS_SUPERFAMILY
NP_215560.1	PF13338	FAMILY
NP_215758.1	PF01850	DOMAIN
NP_215758.1	cd18678	NULL_TYPE
NP_215758.1	SSF88723	HOMOLOGOUS_SUPERFAMILY
NP_217440.1	G3DSA:1.10.8.50:FF:000003	NULL_TYPE
NP_217440.1	PF06831	DOMAIN
NP_217440.1	G3DSA:3.20.190.10:FF:000006	NULL_TYPE
NP_217440.1	PF06827	DOMAIN
NP_217440.1	PF01149	DOMAIN
NP_217440.1	PTHR22993	NULL_TYPE
NP_217440.1	cd08966	NULL_TYPE
NP_217440.1	SSF81624	HOMOLOGOUS_SUPERFAMILY
NP_217440.1	SSF46946	HOMOLOGOUS_SUPERFAMILY
NP_217440.1	SSF57716	NULL_TYPE
YP_177673.1	SSF47598	HOMOLOGOUS_SUPERFAMILY
NP_214698.1	PF10979	DOMAIN
NP_217954.1	PF10708	DOMAIN
NP_216207.1	SSF48452	HOMOLOGOUS_SUPERFAMILY
NP_215379.1	PF01967	DOMAIN
NP_215379.1	cd01420	FAMILY
NP_215379.1	SSF55040	HOMOLOGOUS_SUPERFAMILY
NP_216035.1	PF01041	FAMILY
NP_216143.1	PF00108	DOMAIN
NP_216143.1	G3DSA:3.40.47.10:FF:000041	NULL_TYPE
NP_216143.1	PTHR42870	NULL_TYPE
NP_216143.1	cd00829	NULL_TYPE
NP_216143.1	SSF53901	HOMOLOGOUS_SUPERFAMILY
NP_216143.1	SSF53901	HOMOLOGOUS_SUPERFAMILY
NP_215960.1	PF03670	NULL_TYPE
NP_216846.1	PF14041	FAMILY
