category	id_go	description_go
BIOLOGICAL_PROCESS	GO:0006424	glutamyl-tRNA aminoacylation
BIOLOGICAL_PROCESS	GO:0006426	glycyl-tRNA aminoacylation
BIOLOGICAL_PROCESS	GO:0006429	leucyl-tRNA aminoacylation
BIOLOGICAL_PROCESS	GO:0006430	lysyl-tRNA aminoacylation
BIOLOGICAL_PROCESS	GO:0006431	methionyl-tRNA aminoacylation
BIOLOGICAL_PROCESS	GO:0006432	phenylalanyl-tRNA aminoacylation
BIOLOGICAL_PROCESS	GO:0006434	seryl-tRNA aminoacylation
BIOLOGICAL_PROCESS	GO:0006436	tryptophanyl-tRNA aminoacylation
BIOLOGICAL_PROCESS	GO:0006437	tyrosyl-tRNA aminoacylation
BIOLOGICAL_PROCESS	GO:0006438	valyl-tRNA aminoacylation
BIOLOGICAL_PROCESS	GO:0006450	regulation of translational fidelity
BIOLOGICAL_PROCESS	GO:0006457	protein folding
BIOLOGICAL_PROCESS	GO:0006465	signal peptide processing
BIOLOGICAL_PROCESS	GO:0006468	protein phosphorylation
BIOLOGICAL_PROCESS	GO:0006470	protein dephosphorylation
BIOLOGICAL_PROCESS	GO:0006481	C-terminal protein methylation
BIOLOGICAL_PROCESS	GO:0006493	protein O-linked glycosylation
BIOLOGICAL_PROCESS	GO:0006508	proteolysis
BIOLOGICAL_PROCESS	GO:0006518	peptide metabolic process
BIOLOGICAL_PROCESS	GO:0006520	amino acid metabolic process
BIOLOGICAL_PROCESS	GO:0006523	alanine biosynthetic process
BIOLOGICAL_PROCESS	GO:0006525	arginine metabolic process
BIOLOGICAL_PROCESS	GO:0006526	arginine biosynthetic process
BIOLOGICAL_PROCESS	GO:0006527	arginine catabolic process
BIOLOGICAL_PROCESS	GO:0006528	asparagine metabolic process
BIOLOGICAL_PROCESS	GO:0006529	asparagine biosynthetic process
BIOLOGICAL_PROCESS	GO:0006534	cysteine metabolic process
BIOLOGICAL_PROCESS	GO:0006535	cysteine biosynthetic process from serine
BIOLOGICAL_PROCESS	GO:0006536	glutamate metabolic process
BIOLOGICAL_PROCESS	GO:0006537	glutamate biosynthetic process
BIOLOGICAL_PROCESS	GO:0006541	glutamine metabolic process
BIOLOGICAL_PROCESS	GO:0006542	glutamine biosynthetic process
BIOLOGICAL_PROCESS	GO:0006545	glycine biosynthetic process
BIOLOGICAL_PROCESS	GO:0006546	glycine catabolic process
BIOLOGICAL_PROCESS	GO:0006555	methionine metabolic process
BIOLOGICAL_PROCESS	GO:0006556	S-adenosylmethionine biosynthetic process
BIOLOGICAL_PROCESS	GO:0006559	L-phenylalanine catabolic process
BIOLOGICAL_PROCESS	GO:0006561	proline biosynthetic process
BIOLOGICAL_PROCESS	GO:0006562	proline catabolic process
BIOLOGICAL_PROCESS	GO:0006564	L-serine biosynthetic process
BIOLOGICAL_PROCESS	GO:0006568	tryptophan metabolic process
BIOLOGICAL_PROCESS	GO:0006569	tryptophan catabolic process
BIOLOGICAL_PROCESS	GO:0006570	tyrosine metabolic process
BIOLOGICAL_PROCESS	GO:0006576	biogenic amine metabolic process
BIOLOGICAL_PROCESS	GO:0006596	polyamine biosynthetic process
BIOLOGICAL_PROCESS	GO:0006605	protein targeting
BIOLOGICAL_PROCESS	GO:0006614	SRP-dependent cotranslational protein targeting to membrane
BIOLOGICAL_PROCESS	GO:0006629	lipid metabolic process
BIOLOGICAL_PROCESS	GO:0006631	fatty acid metabolic process
BIOLOGICAL_PROCESS	GO:0006633	fatty acid biosynthetic process
BIOLOGICAL_PROCESS	GO:0006637	acyl-CoA metabolic process
BIOLOGICAL_PROCESS	GO:0006654	phosphatidic acid biosynthetic process
BIOLOGICAL_PROCESS	GO:0006665	sphingolipid metabolic process
BIOLOGICAL_PROCESS	GO:0006694	steroid biosynthetic process
BIOLOGICAL_PROCESS	GO:0006725	cellular aromatic compound metabolic process
BIOLOGICAL_PROCESS	GO:0006729	tetrahydrobiopterin biosynthetic process
BIOLOGICAL_PROCESS	GO:0006741	NADP biosynthetic process
BIOLOGICAL_PROCESS	GO:0006744	ubiquinone biosynthetic process
BIOLOGICAL_PROCESS	GO:0006749	glutathione metabolic process
BIOLOGICAL_PROCESS	GO:0006750	glutathione biosynthetic process
BIOLOGICAL_PROCESS	GO:0006751	glutathione catabolic process
BIOLOGICAL_PROCESS	GO:0006760	folic acid-containing compound metabolic process
BIOLOGICAL_PROCESS	GO:0006777	Mo-molybdopterin cofactor biosynthetic process
BIOLOGICAL_PROCESS	GO:0006779	porphyrin-containing compound biosynthetic process
BIOLOGICAL_PROCESS	GO:0006780	uroporphyrinogen III biosynthetic process
BIOLOGICAL_PROCESS	GO:0006783	heme biosynthetic process
BIOLOGICAL_PROCESS	GO:0006784	heme A biosynthetic process
BIOLOGICAL_PROCESS	GO:0006788	heme oxidation
BIOLOGICAL_PROCESS	GO:0006796	phosphate-containing compound metabolic process
BIOLOGICAL_PROCESS	GO:0006799	polyphosphate biosynthetic process
BIOLOGICAL_PROCESS	GO:0006801	superoxide metabolic process
BIOLOGICAL_PROCESS	GO:0006807	nitrogen compound metabolic process
BIOLOGICAL_PROCESS	GO:0006808	regulation of nitrogen utilization
BIOLOGICAL_PROCESS	GO:0006809	nitric oxide biosynthetic process
BIOLOGICAL_PROCESS	GO:0006811	monoatomic ion transport
BIOLOGICAL_PROCESS	GO:0006812	monoatomic cation transport
BIOLOGICAL_PROCESS	GO:0006813	potassium ion transport
BIOLOGICAL_PROCESS	GO:0006814	sodium ion transport
BIOLOGICAL_PROCESS	GO:0006817	phosphate ion transport
BIOLOGICAL_PROCESS	GO:0006821	chloride transport
BIOLOGICAL_PROCESS	GO:0006824	cobalt ion transport
BIOLOGICAL_PROCESS	GO:0006825	copper ion transport
BIOLOGICAL_PROCESS	GO:0006826	iron ion transport
BIOLOGICAL_PROCESS	GO:0006829	zinc ion transport
BIOLOGICAL_PROCESS	GO:0006865	amino acid transport
BIOLOGICAL_PROCESS	GO:0006878	cellular copper ion homeostasis
BIOLOGICAL_PROCESS	GO:0006879	cellular iron ion homeostasis
BIOLOGICAL_PROCESS	GO:0006885	regulation of pH
BIOLOGICAL_PROCESS	GO:0006886	intracellular protein transport
BIOLOGICAL_PROCESS	GO:0006935	chemotaxis
BIOLOGICAL_PROCESS	GO:0006974	cellular response to DNA damage stimulus
BIOLOGICAL_PROCESS	GO:0006979	response to oxidative stress
BIOLOGICAL_PROCESS	GO:0006996	organelle organization
BIOLOGICAL_PROCESS	GO:0007059	chromosome segregation
BIOLOGICAL_PROCESS	GO:0007155	cell adhesion
BIOLOGICAL_PROCESS	GO:0007165	signal transduction
BIOLOGICAL_PROCESS	GO:0008033	tRNA processing
BIOLOGICAL_PROCESS	GO:0008203	cholesterol metabolic process
BIOLOGICAL_PROCESS	GO:0008272	sulfate transport
BIOLOGICAL_PROCESS	GO:0008295	spermidine biosynthetic process
BIOLOGICAL_PROCESS	GO:0008299	isoprenoid biosynthetic process
BIOLOGICAL_PROCESS	GO:0008360	regulation of cell shape
BIOLOGICAL_PROCESS	GO:0008610	lipid biosynthetic process
BIOLOGICAL_PROCESS	GO:0008615	pyridoxine biosynthetic process
BIOLOGICAL_PROCESS	GO:0008616	queuosine biosynthetic process
BIOLOGICAL_PROCESS	GO:0008643	carbohydrate transport
BIOLOGICAL_PROCESS	GO:0008645	hexose transmembrane transport
BIOLOGICAL_PROCESS	GO:0008652	amino acid biosynthetic process
BIOLOGICAL_PROCESS	GO:0008654	phospholipid biosynthetic process
BIOLOGICAL_PROCESS	GO:0009052	pentose-phosphate shunt, non-oxidative branch
BIOLOGICAL_PROCESS	GO:0009056	catabolic process
BIOLOGICAL_PROCESS	GO:0009058	biosynthetic process
BIOLOGICAL_PROCESS	GO:0009060	aerobic respiration
BIOLOGICAL_PROCESS	GO:0009061	anaerobic respiration
BIOLOGICAL_PROCESS	GO:0009062	fatty acid catabolic process
BIOLOGICAL_PROCESS	GO:0009067	aspartate family amino acid biosynthetic process
BIOLOGICAL_PROCESS	GO:0009072	aromatic amino acid metabolic process
BIOLOGICAL_PROCESS	GO:0009073	aromatic amino acid family biosynthetic process
BIOLOGICAL_PROCESS	GO:0009081	branched-chain amino acid metabolic process
BIOLOGICAL_PROCESS	GO:0009082	branched-chain amino acid biosynthetic process
BIOLOGICAL_PROCESS	GO:0009086	methionine biosynthetic process
BIOLOGICAL_PROCESS	GO:0009088	threonine biosynthetic process
BIOLOGICAL_PROCESS	GO:0009089	lysine biosynthetic process via diaminopimelate
BIOLOGICAL_PROCESS	GO:0009094	L-phenylalanine biosynthetic process
BIOLOGICAL_PROCESS	GO:0009098	leucine biosynthetic process
BIOLOGICAL_PROCESS	GO:0009102	biotin biosynthetic process
BIOLOGICAL_PROCESS	GO:0009103	lipopolysaccharide biosynthetic process
BIOLOGICAL_PROCESS	GO:0009107	lipoate biosynthetic process
BIOLOGICAL_PROCESS	GO:0009113	purine nucleobase biosynthetic process
BIOLOGICAL_PROCESS	GO:0009116	nucleoside metabolic process
BIOLOGICAL_PROCESS	GO:0009117	nucleotide metabolic process
BIOLOGICAL_PROCESS	GO:0009143	nucleoside triphosphate catabolic process
BIOLOGICAL_PROCESS	GO:0009165	nucleotide biosynthetic process
BIOLOGICAL_PROCESS	GO:0009166	nucleotide catabolic process
BIOLOGICAL_PROCESS	GO:0009190	cyclic nucleotide biosynthetic process
BIOLOGICAL_PROCESS	GO:0009225	nucleotide-sugar metabolic process
BIOLOGICAL_PROCESS	GO:0009226	nucleotide-sugar biosynthetic process
BIOLOGICAL_PROCESS	GO:0009228	thiamine biosynthetic process
BIOLOGICAL_PROCESS	GO:0009229	thiamine diphosphate biosynthetic process
BIOLOGICAL_PROCESS	GO:0009231	riboflavin biosynthetic process
BIOLOGICAL_PROCESS	GO:0009234	menaquinone biosynthetic process
BIOLOGICAL_PROCESS	GO:0009236	cobalamin biosynthetic process
BIOLOGICAL_PROCESS	GO:0009239	enterobactin biosynthetic process
BIOLOGICAL_PROCESS	GO:0009245	lipid A biosynthetic process
BIOLOGICAL_PROCESS	GO:0009246	enterobacterial common antigen biosynthetic process
BIOLOGICAL_PROCESS	GO:0009247	glycolipid biosynthetic process
BIOLOGICAL_PROCESS	GO:0009249	protein lipoylation
BIOLOGICAL_PROCESS	GO:0009252	peptidoglycan biosynthetic process
BIOLOGICAL_PROCESS	GO:0009253	peptidoglycan catabolic process
BIOLOGICAL_PROCESS	GO:0009254	peptidoglycan turnover
BIOLOGICAL_PROCESS	GO:0009263	deoxyribonucleotide biosynthetic process
BIOLOGICAL_PROCESS	GO:0009264	deoxyribonucleotide catabolic process
BIOLOGICAL_PROCESS	GO:0009267	cellular response to starvation
BIOLOGICAL_PROCESS	GO:0009271	phage shock
BIOLOGICAL_PROCESS	GO:0009294	DNA-mediated transformation
BIOLOGICAL_PROCESS	GO:0009297	pilus assembly
BIOLOGICAL_PROCESS	GO:0009298	GDP-mannose biosynthetic process
BIOLOGICAL_PROCESS	GO:0009306	protein secretion
BIOLOGICAL_PROCESS	GO:0009307	DNA restriction-modification system
BIOLOGICAL_PROCESS	GO:0009308	amine metabolic process
BIOLOGICAL_PROCESS	GO:0009372	quorum sensing
BIOLOGICAL_PROCESS	GO:0009394	2'-deoxyribonucleotide metabolic process
BIOLOGICAL_PROCESS	GO:0009396	folic acid-containing compound biosynthetic process
BIOLOGICAL_PROCESS	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
BIOLOGICAL_PROCESS	GO:0009403	toxin biosynthetic process
BIOLOGICAL_PROCESS	GO:0009411	response to UV
BIOLOGICAL_PROCESS	GO:0009432	SOS response
BIOLOGICAL_PROCESS	GO:0009435	NAD biosynthetic process
BIOLOGICAL_PROCESS	GO:0009439	cyanate metabolic process
BIOLOGICAL_PROCESS	GO:0009443	pyridoxal 5'-phosphate salvage
BIOLOGICAL_PROCESS	GO:0009446	putrescine biosynthetic process
BIOLOGICAL_PROCESS	GO:0009451	RNA modification
BIOLOGICAL_PROCESS	GO:0009584	detection of visible light
BIOLOGICAL_PROCESS	GO:0009636	response to toxic substance
BIOLOGICAL_PROCESS	GO:0009712	catechol-containing compound metabolic process
BIOLOGICAL_PROCESS	GO:0009758	carbohydrate utilization
BIOLOGICAL_PROCESS	GO:0009847	spore germination
BIOLOGICAL_PROCESS	GO:0009972	cytidine deamination
BIOLOGICAL_PROCESS	GO:0010033	response to organic substance
BIOLOGICAL_PROCESS	GO:0010038	response to metal ion
BIOLOGICAL_PROCESS	GO:0010124	phenylacetate catabolic process
BIOLOGICAL_PROCESS	GO:0010133	proline catabolic process to glutamate
BIOLOGICAL_PROCESS	GO:0010142	farnesyl diphosphate biosynthetic process, mevalonate pathway
BIOLOGICAL_PROCESS	GO:0010447	response to acidic pH
BIOLOGICAL_PROCESS	GO:0010468	regulation of gene expression
BIOLOGICAL_PROCESS	GO:0010498	proteasomal protein catabolic process
BIOLOGICAL_PROCESS	GO:0010608	post-transcriptional regulation of gene expression
BIOLOGICAL_PROCESS	GO:0015031	protein transport
BIOLOGICAL_PROCESS	GO:0015074	DNA integration
BIOLOGICAL_PROCESS	GO:0015628	protein secretion by the type II secretion system
BIOLOGICAL_PROCESS	GO:0015671	oxygen transport
BIOLOGICAL_PROCESS	GO:0015675	nickel cation transport
BIOLOGICAL_PROCESS	GO:0015689	molybdate ion transport
BIOLOGICAL_PROCESS	GO:0015693	magnesium ion transport
BIOLOGICAL_PROCESS	GO:0015700	arsenite transport
BIOLOGICAL_PROCESS	GO:0015703	chromate transport
BIOLOGICAL_PROCESS	GO:0015711	organic anion transport
BIOLOGICAL_PROCESS	GO:0015716	organic phosphonate transport
BIOLOGICAL_PROCESS	GO:0015727	lactate transport
BIOLOGICAL_PROCESS	GO:0015740	C4-dicarboxylate transport
BIOLOGICAL_PROCESS	GO:0015774	polysaccharide transport
BIOLOGICAL_PROCESS	GO:0015796	galactitol transmembrane transport
BIOLOGICAL_PROCESS	GO:0015801	aromatic amino acid transport
BIOLOGICAL_PROCESS	GO:0015803	branched-chain amino acid transport
BIOLOGICAL_PROCESS	GO:0015813	L-glutamate transmembrane transport
BIOLOGICAL_PROCESS	GO:0015824	proline transport
BIOLOGICAL_PROCESS	GO:0015833	peptide transport
BIOLOGICAL_PROCESS	GO:0015846	polyamine transport
BIOLOGICAL_PROCESS	GO:0015858	nucleoside transport
BIOLOGICAL_PROCESS	GO:0015871	choline transport
BIOLOGICAL_PROCESS	GO:0015878	biotin transport
BIOLOGICAL_PROCESS	GO:0015886	heme transport
BIOLOGICAL_PROCESS	GO:0015887	pantothenate transmembrane transport
BIOLOGICAL_PROCESS	GO:0015888	thiamine transport
BIOLOGICAL_PROCESS	GO:0015936	coenzyme A metabolic process
BIOLOGICAL_PROCESS	GO:0015937	coenzyme A biosynthetic process
BIOLOGICAL_PROCESS	GO:0015940	pantothenate biosynthetic process
BIOLOGICAL_PROCESS	GO:0015944	formate oxidation
BIOLOGICAL_PROCESS	GO:0015969	guanosine tetraphosphate metabolic process
BIOLOGICAL_PROCESS	GO:0015977	carbon fixation
BIOLOGICAL_PROCESS	GO:0015986	proton motive force-driven ATP synthesis
BIOLOGICAL_PROCESS	GO:0016036	cellular response to phosphate starvation
BIOLOGICAL_PROCESS	GO:0016042	lipid catabolic process
BIOLOGICAL_PROCESS	GO:0016051	carbohydrate biosynthetic process
BIOLOGICAL_PROCESS	GO:0016052	carbohydrate catabolic process
BIOLOGICAL_PROCESS	GO:0016070	RNA metabolic process
BIOLOGICAL_PROCESS	GO:0016104	triterpenoid biosynthetic process
BIOLOGICAL_PROCESS	GO:0016114	terpenoid biosynthetic process
BIOLOGICAL_PROCESS	GO:0016226	iron-sulfur cluster assembly
BIOLOGICAL_PROCESS	GO:0016310	phosphorylation
BIOLOGICAL_PROCESS	GO:0016311	dephosphorylation
BIOLOGICAL_PROCESS	GO:0016567	protein ubiquitination
BIOLOGICAL_PROCESS	GO:0016598	protein arginylation
BIOLOGICAL_PROCESS	GO:0016998	cell wall macromolecule catabolic process
BIOLOGICAL_PROCESS	GO:0017000	antibiotic biosynthetic process
BIOLOGICAL_PROCESS	GO:0017001	antibiotic catabolic process
BIOLOGICAL_PROCESS	GO:0017003	protein-heme linkage
BIOLOGICAL_PROCESS	GO:0017004	cytochrome complex assembly
BIOLOGICAL_PROCESS	GO:0017013	protein flavinylation
BIOLOGICAL_PROCESS	GO:0017038	protein import
BIOLOGICAL_PROCESS	GO:0017148	negative regulation of translation
BIOLOGICAL_PROCESS	GO:0017187	peptidyl-glutamic acid carboxylation
BIOLOGICAL_PROCESS	GO:0018106	peptidyl-histidine phosphorylation
BIOLOGICAL_PROCESS	GO:0018142	protein-DNA covalent cross-linking
BIOLOGICAL_PROCESS	GO:0018189	pyrroloquinoline quinone biosynthetic process
BIOLOGICAL_PROCESS	GO:0018193	peptidyl-amino acid modification
BIOLOGICAL_PROCESS	GO:0018339	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid
BIOLOGICAL_PROCESS	GO:0018909	dodecyl sulfate metabolic process
BIOLOGICAL_PROCESS	GO:0019058	viral life cycle
BIOLOGICAL_PROCESS	GO:0019062	virion attachment to host cell
BIOLOGICAL_PROCESS	GO:0019068	virion assembly
BIOLOGICAL_PROCESS	GO:0019069	viral capsid assembly
BIOLOGICAL_PROCESS	GO:0019217	regulation of fatty acid metabolic process
BIOLOGICAL_PROCESS	GO:0019242	methylglyoxal biosynthetic process
BIOLOGICAL_PROCESS	GO:0019251	anaerobic cobalamin biosynthetic process
BIOLOGICAL_PROCESS	GO:0019264	glycine biosynthetic process from serine
BIOLOGICAL_PROCESS	GO:0019277	UDP-N-acetylgalactosamine biosynthetic process
BIOLOGICAL_PROCESS	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
BIOLOGICAL_PROCESS	GO:0019290	siderophore biosynthetic process
BIOLOGICAL_PROCESS	GO:0019299	rhamnose metabolic process
BIOLOGICAL_PROCESS	GO:0019301	rhamnose catabolic process
BIOLOGICAL_PROCESS	GO:0019310	inositol catabolic process
BIOLOGICAL_PROCESS	GO:0019317	fucose catabolic process
BIOLOGICAL_PROCESS	GO:0019346	transsulfuration
BIOLOGICAL_PROCESS	GO:0019354	siroheme biosynthetic process
BIOLOGICAL_PROCESS	GO:0019439	aromatic compound catabolic process
BIOLOGICAL_PROCESS	GO:0019441	tryptophan catabolic process to kynurenine
BIOLOGICAL_PROCESS	GO:0019464	glycine decarboxylation via glycine cleavage system
BIOLOGICAL_PROCESS	GO:0019475	L-lysine catabolic process to acetate
BIOLOGICAL_PROCESS	GO:0019509	L-methionine salvage from methylthioadenosine
BIOLOGICAL_PROCESS	GO:0019516	lactate oxidation
BIOLOGICAL_PROCESS	GO:0019538	protein metabolic process
BIOLOGICAL_PROCESS	GO:0019544	arginine catabolic process to glutamate
BIOLOGICAL_PROCESS	GO:0019545	arginine catabolic process to succinate
BIOLOGICAL_PROCESS	GO:0019551	glutamate catabolic process to 2-oxoglutarate
BIOLOGICAL_PROCESS	GO:0019556	histidine catabolic process to glutamate and formamide
BIOLOGICAL_PROCESS	GO:0019563	glycerol catabolic process
BIOLOGICAL_PROCESS	GO:0019569	L-arabinose catabolic process to xylulose 5-phosphate
BIOLOGICAL_PROCESS	GO:0019627	urea metabolic process
BIOLOGICAL_PROCESS	GO:0019634	organic phosphonate metabolic process
BIOLOGICAL_PROCESS	GO:0019645	anaerobic electron transport chain
BIOLOGICAL_PROCESS	GO:0019646	aerobic electron transport chain
BIOLOGICAL_PROCESS	GO:0019673	GDP-mannose metabolic process
BIOLOGICAL_PROCESS	GO:0019700	organic phosphonate catabolic process
BIOLOGICAL_PROCESS	GO:0019748	secondary metabolic process
BIOLOGICAL_PROCESS	GO:0019752	carboxylic acid metabolic process
